reference_casias,nom,adresse,code_insee,commune,avec_coordonnees,statut,motif,source_url
BNO6100723,USINE DE PONTCHARDON,,61333,PONTCHARDON,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796356
BNO6100724,FONDERIES DE PONTCHARDON,248 Route nationale En bordure de la  de Vimoutiers à Montreuil L'Aigle,61333,PONTCHARDON,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796357
BNO6100737,ANCIENNE USINE à GAZ DE VIMOUTIERS,13 rue P. CRETON,61508,VIMOUTIERS,oui,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796370
BNO6100753,FONDERIE DE SUIF EN BRANCHE,rue Ferrey du,61508,VIMOUTIERS,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796386
BNO6100756,QUINCAILLERIE CATENA,19 rue moulin du,61508,VIMOUTIERS,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796389
BNO6100774,,moulin Noir le,61486,TINCHEBRAY,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796407
BNO6100777,USINE DES RONDES NOES,,61486,TINCHEBRAY,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796410
BNO6100783,SCIERIE MECANIQUE,,61503,VIEUX PONT,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796416
BNO6100788,LES FORGES DU CHAMPS DE LA PIERRE,Gare La,61090,CHAMPS,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796421
BNO6100792,STATION HYDROELECTRIQUE DE LA FORGE : MOULIN DE LA FORGE,rue forge de la,61339,PUTANGES PONT ECREPIN,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796424
BNO6100794,,"rue Forge de la, embarcadère",61339,PUTANGES PONT ECREPIN,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796426
BNO6100795,USINE DE PUTANGES,Fresnaye du Sauvage,61339,PUTANGES PONT ECREPIN,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796427
BNO6100799,FORGES DE PUTANGES,,61339,PUTANGES PONT ECREPIN,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796431
BNO6100812,,"LA BRIQUETERIE (anc.""Le Tremblay"")",61218,LA LANDE PATRY,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796444
BNO6100830,FORGE DE VARENNES,,61091,CHAMPSECRET,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796462
BNO6100831,FORGE,,61091,CHAMPSECRET,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796463
BNO6100848,MINES DE FER DE LA FERRIERE AUX ETANGS,"""Le gué Plat""",61163,LA FERRIERE AUX ETANGS,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796480
BNO6100852,HAUTS FOURNEAUX FORGES ET ACIERIES DE DENAIN ET D'ANZIN (SA),Le Guillot,61163,LA FERRIERE AUX ETANGS,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796484
BNO6100853,USINE DES LANDELLES,,61169,FLERS,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796485
BNO6100867,USINE DE FLERS,"""Le tremblay""",61169,FLERS,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796496
BNO6100870,EDF-GDF,21 rue fonderie de la,61169,FLERS,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796499
BNO6100891,,Usine de la Planchette,61169,FLERS,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796518
BNO6100900,ANCIENNE USINE A GAZ,rue fonderie de la,61169,FLERS,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796527
BNO6100927,FABRIQUE DE CHANDELLES,rue tournée du moulin de la,61169,FLERS,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796551
BNO6100930,FONDERIE DE SUIF,,61169,FLERS,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796554
BNO6100957,ATELIER DE FORGEAGE DE METAUX A LA MAIN,99 rue Paris de,61169,FLERS,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796580
BNO6101046,MOULIN A TAN : MOULIN DE BORDEAUX,MOULIN VERT LE,61358,SAI,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796661
BNO6101050,FONDERIE,,61294,MORTREE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796665
BNO6101062,FONDERIE DE CUIVRE,,61432,SAINT MICHEL TUBOEUF,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796677
BNO6101065,USINE DE LA DEMOISELLE,,61432,SAINT MICHEL TUBOEUF,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796680
BNO6101067,PAPETERIE DE SAINT HILAIRE,le bourg 61270 St Hilaire sur rille,61406,SAINT HILAIRE SUR RISLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796682
BNO6101074,MOULIN 0 PAPIER DE SAINT HILAIRE,,61406,SAINT HILAIRE SUR RISLE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796687
BNO6101082,PAPETERIE DU SIEUR HILAIRE,,61389,SAINTE GAUBURGE SAINTE COLOMBE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796695
BNO6101083,MOULIN RENARD,,61389,SAINTE GAUBURGE SAINTE COLOMBE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796696
BNO6101094,USINE D'AUBETTE,,61008,AUBE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796704
BNO6101106,,"lieu dit ""L'USINE""",61200,HALEINE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796716
BNO6101108,,route St Denis 61330 Sept forges,61469,SEPT FORGES,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796718
BNO6101120,CENTRALE DE COUTERNE,,61135,COUTERNE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796730
BNO6101121,FONDERIE DE SUIF,,61135,COUTERNE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796731
BNO6101133,FORGE,avenue P. LOWELL,61022,BAGNOLES-DE-L'ORNE,non,candidat_elargissement_non_integre,mot_cle_industriel_conservateur,https://fiches-risques.brgm.fr/georisques/casias/SSP3796742
