dossier_reference,origine,statut_traitement,statut_site,site_id,titre_source,communes_source,insee_source,adresses_source,lieux_dits_source,denominations_source,activites_codes,secteurs_codes,installations_codes,periodes_activite_codes,periodes_source_codes,localisation_statut_code,longitude_source,latitude_source,decision_rapprochement,dossier_url
IA00060899,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,haut fourneau,Rânes,61344,,Fourneau (Le),haut fourneau,production_fonte,metallurgie_travail_metaux,haut_fourneau,,avant_1789,source_non_controlee,-0.21143545726767699,48.62191705928494,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/241fb84d-5d76-4ec3-9868-368485c43bbc
IA00060907,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,usine de confection,Flers,61169,11e Division Britannique (rue de la) 33,,usine de confection,confection_habillement,textile_habillement_cuir,usine,,guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,-0.5697684690933215,48.751537545057566,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/b03e3c23-feab-4456-bf5c-3902b8bb7488
IA00060914,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,tissage (tissage de Coton) dit tissage de la Blanchardière,Flers,61169,Durmeyer (rue) 16,,tissage,tissage,textile_habillement_cuir,tissage,,industrialisation_rail_vapeur | guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,-0.5761359134633843,48.742928798775004,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/83cddd58-ad05-4930-98cc-fdfad6dd518d
IA00060920,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,scierie,Saint-Germain-de-Clairefeuille,61393,,Scierie (La),scierie,sciage_bois,bois_papier_imprimerie,scierie,,guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,0.23551638196666144,48.73046090546557,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/9ec3d6b1-bf68-4db3-8138-ef1366985e52
IA00060926,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,"usine de ferblanterie, usine de serrurerie",Tinchebray,61486,"Porets (rue au) 11, 13",,usine de ferblanterie | usine de serrurerie,fabrication_metaux | fabrication_quincaillerie,metallurgie_travail_metaux,usine,,industrialisation_rail_vapeur,source_non_controlee,-0.7273491653432106,48.76397087591518,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/eaea568b-7601-4bdf-8f38-5fadccbc4d80
IA00060932,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,usine de confection,Flers,61169,Boule (rue de la) 80,,usine de confection,confection_habillement,textile_habillement_cuir,usine,,guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,-0.5714601218313395,48.753575680223996,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/6017fa46-e6f0-4085-8760-68bb54cfc44d
IA00060939,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,fromagerie industrielle,Le Renouard,61346,,Vignette (La),fromagerie industrielle,transformation_lait,agroalimentaire,fromagerie,,industrialisation_rail_vapeur | guerres_entre_deux_guerres,source_non_controlee,0.08040427513680662,48.92687192121918,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/fceacf84-952a-4d8d-8db0-efdf2cc7b3ad
IA00060945,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,moulin à farine,Saint-Martin-l'Aiguillon,61427,,Moulin de Crochet (Le),moulin à farine,mouture_cereales,agroalimentaire,moulin,,revolution_premiere_industrialisation,source_non_controlee,-0.16683424539079367,48.60742089732103,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/c00da04a-cc2a-460e-aced-1c44ff737c01
IA00060950,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,moulin à farine,Macé,61240,,Boue,moulin à farine,mouture_cereales,agroalimentaire,moulin,,industrialisation_rail_vapeur,source_non_controlee,0.10845493725543898,48.65369860837976,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/fec36c1b-86bf-42e2-857d-559a5ac73865
IA00060956,phase8_lot1_50,structure_classee_a_enrichir,site_provisoire_lot1_valide,,"cidrerie, distillerie puis, laiterie industrielle",Mantilly,61248,,Landes (Les),cidrerie | distillerie | laiterie industrielle,production_cidre | distillation_alimentaire | transformation_lait,agroalimentaire,cidrerie | distillerie | laiterie,,industrialisation_rail_vapeur | guerres_entre_deux_guerres,source_non_controlee,-0.8133125215700684,48.50431194314542,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/71f0f9d8-3b40-4722-9455-a9d026e77b8d
