site_id,reference_ia,reference_casias,nom_casias,adresse_casias,distance_m,score_texte,statut,usage
48ce59ce-bc18-44b6-b31e-c966cf05a6f9,IA00061160,BNO6101357,TREFILERIE,"lieu dit ""La Forge""",59.4,60,recoupement_confirme,recoupement_uniquement
d7e13953-e05f-4318-9740-0f1d6f3375c4,IA00060918,BNO6101358,USINE DE JOUETS,34 rue République de la,35.8,86,recoupement_confirme,recoupement_uniquement
6365d6cf-c798-40d4-b227-be197294236d,IA00061005,BNO6101361,USINE BOULENGER,112 avenue Quakenbrück (de),34.9,67,recoupement_confirme,recoupement_uniquement
b52afb9d-061b-4d92-a4ed-e719df476a6b,IA00060884,BNO6102197,USINE FERODO/VALEO DE LA MARTINIQUE,lieu dit La Martinique,44.9,25,recoupement_confirme,recoupement_uniquement
e86d2f1c-0c5f-4b83-a187-ad29a3ad76b7,IA00061190,BNO6102200,USINE FERODO / VALEO DU BARONNET,lieu dit Le Baronnet,31.8,36,recoupement_confirme,recoupement_uniquement
97610880-9044-426a-9abb-a8676516f8f5,IA00061186,BNO6100001,USINE DE MESSEI,gare,124.8,55,recoupement_confirme_apres_revue,recoupement_uniquement
9a2fa262-bc53-45ef-8970-dce2042b95db,IA00060961,BNO6100008,MINE DE HALOUZE,forêt de Halouze,221.0,46,recoupement_confirme_apres_revue,recoupement_uniquement
73df6396-8954-4f34-b31e-ee813226fd1f,IA00061165,BNO6100037,USINE DE CHAUX,route Boucé de,304.7,67,recoupement_confirme_apres_revue,recoupement_uniquement
4b0fcc92-f32b-4040-ae5d-32a4945b176a,IA00060969,BNO6100228,FILATURES ET TISSAGE D OZE,,85.5,19,recoupement_confirme_apres_revue,recoupement_uniquement
c528f629-8337-49c9-873c-75ecc067a7a3,IA00061147,BNO6100341,,gare la,,80,recoupement_confirme_apres_revue,recoupement_uniquement
b1136ddb-9fff-4209-8328-e5caed705388,IA00061153,BNO6100427,LES FORGES DE BEAUMONT,LA FORGE DE BEAUMONT,128.6,67,recoupement_confirme_apres_revue,recoupement_uniquement
188196b6-ebc1-408a-bb87-6328b3d7ef10,IA00061086,BNO6100481,USINE ABADIE,29 avenue Loges des (Route de Céton- rue de la vallée),79.4,44,recoupement_confirme_apres_revue,recoupement_uniquement
1d68b8c4-4bbb-4ed7-809b-ad78391d32a0,IA00060885,BNO6100516,,Breuil le,294.7,67,recoupement_confirme_apres_revue,recoupement_uniquement
