dossier_reference,origine,statut_traitement,statut_site,site_id,titre_source,communes_source,insee_source,adresses_source,lieux_dits_source,denominations_source,activites_codes,secteurs_codes,installations_codes,periodes_activite_codes,periodes_source_codes,localisation_statut_code,longitude_source,latitude_source,decision_rapprochement,dossier_url
IA00061130,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,ecb22379-17a1-4392-9101-2c34cfc7fb3e,usine de chaux,Bazoches-au-Houlme,61028,,Champs Bougon (Les),usine de chaux,fabrication_chaux_ciment,verre_ceramique_materiaux_construction,usine,,revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,-0.24252240153100024,48.81259869072602,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/7cfecbf8-9454-4e10-baae-dd862e9ebfd3
IA00061131,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,56cbbc04-d30b-4923-96a0-265f7dd0073b,moulin à farine,Bazoches-sur-Hoëne,61029,,Moulin de Crémel (Le),moulin à farine,mouture_cereales,agroalimentaire,moulin,,revolution_premiere_industrialisation,source_non_controlee,0.47189183990076655,48.55737889097087,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/590907c8-296c-46c3-a66e-d3591affff46
IA00061132,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,342bf146-eeeb-46ae-b13b-e297352b1460,filature,Athis-de-l'Orne,61007,,Planquivon,filature,filature_textile,textile_habillement_cuir,filature,,revolution_premiere_industrialisation | industrialisation_rail_vapeur,source_non_controlee,-0.5399726119266076,48.81627323208482,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/cde6a40a-13ed-45ff-a6e7-c040a38738bf
IA00061136,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,444016a0-34b9-4b6f-aa2e-773d48751257,"moulin à farine, minoterie",La Madeleine-Bouvet,61241,,Moulin de la Bonnechère,moulin à farine | minoterie,mouture_cereales | mouture_cereales,agroalimentaire,minoterie | moulin,,industrialisation_rail_vapeur | modernisation_apres_guerre,source_non_controlee,0.8823324234751956,48.46903411153528,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/cd6eba3c-0e0f-4238-a6e4-dbb919f73979
IA00061137,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,2d75dc96-acca-4a75-a672-5d8e722c429a,tuilerie de la Boulaie Blanche,Moutiers-au-Perche,61300,,Déhaserie (La),tuilerie,fabrication_tuiles,verre_ceramique_materiaux_construction,tuilerie,,industrialisation_rail_vapeur,source_non_controlee,0.8391246421199199,48.4502023385139,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/227665af-a88f-41a6-b714-55a3aa8f2d29
IA00061138,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,31435f32-c5e1-4e87-9162-c08e37be9853,moulin à farine,Rai,61342,,Moulin de Rai (Le),moulin à farine,mouture_cereales,agroalimentaire,moulin,,revolution_premiere_industrialisation,source_non_controlee,0.5776829190962741,48.7476965361192,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/62b99cac-2c40-42ff-b0b9-fa4840ea2a07
IA00061139,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,c15f9716-15b4-40fc-96c9-d226bab4a4da,"usine de fabrication des métaux, moulin à papier",Saint-Victor-de-Réno,61458,,Forge (La),usine de fabrication des métaux | moulin à papier,fabrication_metaux | fabrication_papier,bois_papier_imprimerie | metallurgie_travail_metaux,papeterie | usine,,avant_1789 | industrialisation_rail_vapeur,source_non_controlee,0.7009515888194904,48.51610367111526,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/428a9bbb-bd36-43c4-b258-8747403c24dd
IA00061140,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,82329a79-da1e-40ca-92ea-a6994c6e5315,moulin à farine,La Mesnière,61277,,Moulin de Longpont (Le),moulin à farine,mouture_cereales,agroalimentaire,moulin,,industrialisation_rail_vapeur,source_non_controlee,0.43376244723596485,48.54583375116964,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/d2ab2e83-4178-427a-a414-61b279bf280a
IA00061142,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,a77a89ae-75fd-4a96-8b82-8c401f48603f,"moulin à farine, puis usine génératrice d'électricité",Mauves-sur-Huisne,61255,,Moulin de Mauves (le),moulin à farine,mouture_cereales,agroalimentaire,moulin,,industrialisation_rail_vapeur | guerres_entre_deux_guerres,source_non_controlee,0.6220677733154655,48.441190876511634,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/cdbc105c-77cd-4bd9-81ba-b19cd6ce58ef
IA00061143,phase8_restant_officiel,canonise_phase8,site_canonique_phase8,c5f7957f-fc85-400a-8893-4312779450f9,"usine de Matériel Electroacoustique dite usine de Matériel Electroacoustique A.C.E.M., puis A.R.E.A.C.E.M.",Tourouvre,61491,,Verrerie de BelleVue (La),usine de matériel électroacoustique,fabrication_materiel_electrique,mecanique_electrique,usine,,guerres_entre_deux_guerres | modernisation_apres_guerre,source_non_controlee,0.6606603071402218,48.60215286355802,aucun_rapprochement_requis_a_ce_stade,https://inventaire-patrimoine.normandie.fr/dossier/419b5693-77d0-430a-a575-eaa983f332ca
