reference,title,communes,insee,dossier_url
IA00060977,usine liée au travail du bois,Alençon,61001,https://inventaire-patrimoine.normandie.fr/dossier/bda44f05-b99e-463b-8019-9347f105f15a
IA00060978,tissage dit tissage du Bas de Maure,La Ferté-Macé,61168,https://inventaire-patrimoine.normandie.fr/dossier/59ce6d56-7a0e-4826-ba09-ab294de9d60c
IA00060979,tissage dit tissage de Maure,La Ferté-Macé,61168,https://inventaire-patrimoine.normandie.fr/dossier/380fd45e-908b-4386-8d70-9f936498201c
IA00060980,"moulin à farine, tissage",La Ferté-Macé,61168,https://inventaire-patrimoine.normandie.fr/dossier/e0de9762-7cc8-49cb-9358-5bcfa17e7155
IA00060981,tissage,Antoigny,61004,https://inventaire-patrimoine.normandie.fr/dossier/aa9ee811-5b12-4449-8e94-fbcaaaa8b4f4
IA00060982,tissage,La Ferté-Macé,61168,https://inventaire-patrimoine.normandie.fr/dossier/58d400e9-b245-40ac-bdc1-951d33f93f1e
IA00060983,tissage,La Ferté-Macé,61168,https://inventaire-patrimoine.normandie.fr/dossier/2e99c1b5-8bfc-4387-86ac-1596e83cd008
IA00060984,tissage,La Ferté-Macé,61168,https://inventaire-patrimoine.normandie.fr/dossier/78e1fad2-c0be-4e5b-b7df-6bb477e67485
IA00060985,tissage de Beaudouet,La Ferté-Macé,61168,https://inventaire-patrimoine.normandie.fr/dossier/ce341681-0375-4078-89b5-e003e49508f4
IA00060986,usine de blanchiment,La Ferté-Macé,61168,https://inventaire-patrimoine.normandie.fr/dossier/d42c29fe-0cfa-42e9-ba94-69f4febcbc51
IA00060987,scierie,Coulonges-sur-Sarthe,61126,https://inventaire-patrimoine.normandie.fr/dossier/1f07c5e6-4b27-4e33-af62-7d755e0abf9d
IA00060988,usine de matériel d'équipement industriel dite usine Lurem,La Haute-Chapelle,61201,https://inventaire-patrimoine.normandie.fr/dossier/4a1dbf3d-9f32-4083-99ca-b1080b97bbc0
IA00060989,laiterie industrielle et abattoirs du Pont Morin,La Chapelle-d'Andaine,61096,https://inventaire-patrimoine.normandie.fr/dossier/12e4344b-d4fe-437a-a8b3-d1c5f8cc5cd0
IA00060990,laiterie industrielle,La Chapelle-d'Andaine,61096,https://inventaire-patrimoine.normandie.fr/dossier/36ae0b31-d205-40a7-bed8-99192753499b
IA00060991,"moulin à farine, minoterie",Saint-Germain-du-Corbéis,61397,https://inventaire-patrimoine.normandie.fr/dossier/ad16d5d6-1455-495d-be64-efc9506a971f
IA00060992,laiterie industrielle,Tanville,61480,https://inventaire-patrimoine.normandie.fr/dossier/88fbe533-0c24-4bdd-8b87-59be65cd9732
IA00060993,fromagerie industrielle,Champsecret,61091,https://inventaire-patrimoine.normandie.fr/dossier/13843bb0-ed07-4e18-9787-35ece5924bb2
IA00060994,usine d'extraction,Chailloué,61081,https://inventaire-patrimoine.normandie.fr/dossier/91df8d62-51c0-4bd5-84fc-f99011dfa932
IA00060995,moulin à farine,Coulonges-sur-Sarthe,61126,https://inventaire-patrimoine.normandie.fr/dossier/f06b42c8-e496-44f5-8495-3262fa753fb5
IA00060996,"moulin à farine, minoterie",Saint-Denis-sur-Sarthon,61382,https://inventaire-patrimoine.normandie.fr/dossier/80a70c8b-65b9-4427-8298-dcb027b9879b
IA00060997,faïencerie,Saint-Denis-sur-Sarthon,61382,https://inventaire-patrimoine.normandie.fr/dossier/a3c6988d-4dec-4f14-a75a-214154b55d2a
IA00060998,usine de blanchiment,La Ferté-Macé,61168,https://inventaire-patrimoine.normandie.fr/dossier/db919e83-c99a-4a83-9e4d-e29fbec073c0
IA00060999,tissage de mèches,La Ferté-Macé,61168,https://inventaire-patrimoine.normandie.fr/dossier/f84bbf5d-7272-4e9e-9fad-ab9e9f645023
IA00061000,usine de chaussures,La Ferté-Macé,61168,https://inventaire-patrimoine.normandie.fr/dossier/f85f3485-6326-4372-885b-e0d294ec427a
IA00061001,usine de chaussures,La Ferté-Macé,61168,https://inventaire-patrimoine.normandie.fr/dossier/341e5158-f94c-447e-a785-78ff45bbf74d
IA00061002,imprimerie Alençonnaise,Alençon,61001,https://inventaire-patrimoine.normandie.fr/dossier/412bdd9c-fba0-4186-a292-cdce3d04da94
IA00061003,four à chaux,Les Rotours,61354,https://inventaire-patrimoine.normandie.fr/dossier/3b93acab-5a9a-4e6c-ae7d-96d51e5a6e92
IA00061004,four à chaux,Les Rotours,61354,https://inventaire-patrimoine.normandie.fr/dossier/23ab383d-e20c-4b4d-b6d3-7962c8fd9038
IA00061005,usine de céramique,Alençon,61001,https://inventaire-patrimoine.normandie.fr/dossier/97b4191e-c33e-481f-bf87-e773cd2b9f3d
IA00061006,usine d'extraction dite Mine de Halouze,Saint-Clair-de-Halouze,61376,https://inventaire-patrimoine.normandie.fr/dossier/3d33f56e-0804-4bb8-91e8-d2d997de498c
IA00061007,usine d'extraction dite Mine de Halouze,Saint-Clair-de-Halouze,61376,https://inventaire-patrimoine.normandie.fr/dossier/550a98cc-1b6a-44d2-86af-4f2eedb20d38
IA00061008,usine d'extraction dite Mine de Halouze,Saint-Clair-de-Halouze,61376,https://inventaire-patrimoine.normandie.fr/dossier/dd0c25a9-e2ed-4615-b008-b03551f35864
IA00061009,cité ouvrière,Saint-Clair-de-Halouze,61376,https://inventaire-patrimoine.normandie.fr/dossier/8c1faae4-d089-4889-a1cb-f600f23c2578
IA00061010,"moulin à farine, minoterie",Couterne,61135,https://inventaire-patrimoine.normandie.fr/dossier/0970802c-ec7f-47d3-b927-be99e1eaeddb
IA00061011,cité ouvrière,Le Châtellier,61102,https://inventaire-patrimoine.normandie.fr/dossier/c6c14420-21dd-40da-980d-6b02452883d5
IA00061012,tuilerie,Mâle,61246,https://inventaire-patrimoine.normandie.fr/dossier/213ecea3-3d49-4529-add8-8f28bc3ae096
IA00061013,"moulin à farine, usine de passementerie, tréfilerie",Aube,61008,https://inventaire-patrimoine.normandie.fr/dossier/43c3eab5-6bba-4329-a3d0-38340573450a
IA00061014,moulin à blé,Buré,61066,https://inventaire-patrimoine.normandie.fr/dossier/4578b822-7195-4082-969b-ed4bbed80047
IA00061015,"moulin à farine, usine de pâte à papier",Mâle,61246,https://inventaire-patrimoine.normandie.fr/dossier/4d921a1e-9cd2-497b-8670-7c168fc7bdbe
IA00061016,moulin à farine,Perche en Nocé,,https://inventaire-patrimoine.normandie.fr/dossier/b5c7d602-d531-487f-b2f9-19bd9c3c4678
IA00061017,haut fourneau,Saint-Pierre-des-Loges,61446,https://inventaire-patrimoine.normandie.fr/dossier/345d91f0-a734-4f62-914f-8be1089f6b52
IA00061018,"moulin à papier, tannerie dite Tanneries de Saint Hilaire",Saint-Hilaire-sur-Risle,61406,https://inventaire-patrimoine.normandie.fr/dossier/0b246630-95bd-4651-9664-b916468d17ce
IA00061019,moulin à farine,Saint-Hilaire-sur-Risle,61406,https://inventaire-patrimoine.normandie.fr/dossier/daac4840-acf9-4c58-83b2-26a9496d7a1a
IA00061020,moulin à farine,Bazoches-sur-Hoëne,61029,https://inventaire-patrimoine.normandie.fr/dossier/fd691cfe-e962-4291-b18b-4626c13aec31
IA00061021,moulin à farine,Saint-Agnan-sur-Sarthe,61360,https://inventaire-patrimoine.normandie.fr/dossier/055b4787-db11-470d-9017-4ac147a1be2f
IA00061022,moulin à farine,Sainte-Scolasse-sur-Sarthe,61454,https://inventaire-patrimoine.normandie.fr/dossier/a338d4a1-0f8c-468d-8518-7c02f3e96502
IA00061023,usine de fabrication des métaux,Le Champ-de-la-Pierre,61085,https://inventaire-patrimoine.normandie.fr/dossier/415450d3-1ffd-44e3-a9f5-e534aef18bae
IA00061024,"haut fourneau, fonderie",Sainte-Marguerite-de-Carrouges,61419,https://inventaire-patrimoine.normandie.fr/dossier/a02dcabd-ba7c-44e8-bf61-6a825a5c4b2b
IA00061025,affinerie dite forge de Carrouges,Saint-Martin-l'Aiguillon,61427,https://inventaire-patrimoine.normandie.fr/dossier/eb7a8df9-2258-477e-9c1f-e3dfed7313df
IA00061026,"moulin à farine, usine de chaudronnerie dit moulin d'Aube, puis usine de chaudronnerie du moulin d'Aube",Aube,61008,https://inventaire-patrimoine.normandie.fr/dossier/c7d7cd67-02fb-46fd-8c05-4e32a6cd3143
IA00061027,"usine de passementerie, usine de chaussures",Beaufai,61032,https://inventaire-patrimoine.normandie.fr/dossier/8d2fc298-6106-4fb9-ace4-2b7ba53178c4
IA00061028,moulin à farine,Beaufai,61032,https://inventaire-patrimoine.normandie.fr/dossier/0439fa26-5f51-48aa-a6b7-47d3bb459f21
IA00061029,affinerie,Aube,61008,https://inventaire-patrimoine.normandie.fr/dossier/9354356d-808f-412a-95b3-2dc2b2c99cdc
IA00061030,"moulin à papier, tréfilerie",Rai,61342,https://inventaire-patrimoine.normandie.fr/dossier/1bcc0808-2397-4e51-8d4b-cbbb7b198c4a
IA00061033,tréfilerie,Saint-Sulpice-sur-Risle,61456,https://inventaire-patrimoine.normandie.fr/dossier/8bd63f82-dbc6-4eda-9f88-373fd5362b08
IA00061034,filature Vente,Saint-Pierre-du-Regard,61447,https://inventaire-patrimoine.normandie.fr/dossier/ad1952b3-870f-448a-b0a9-14cd81aab402
IA00061035,filature des Roches,Saint-Pierre-du-Regard,61447,https://inventaire-patrimoine.normandie.fr/dossier/e12635a5-8541-4da5-b4ba-5972bd0fa103
IA00061036,filature,Saint-Pierre-du-Regard,61447,https://inventaire-patrimoine.normandie.fr/dossier/f7a22518-67a5-4604-a1c1-e7d0e09169bf
IA00061037,filature,Saint-Pierre-du-Regard,61447,https://inventaire-patrimoine.normandie.fr/dossier/5b097d42-cbe4-4079-b0cc-df7323cc90ad
IA00061038,filature,Saint-Pierre-du-Regard,61447,https://inventaire-patrimoine.normandie.fr/dossier/432fcd3d-fd42-4915-a432-30afb0d32d2e
IA00061039,usine d'ouvrages en amiante,Sainte-Honorine-la-Chardonne,61407,https://inventaire-patrimoine.normandie.fr/dossier/06764c30-6e7a-4bdd-b34b-cfe5726b4b08
IA00061040,tissage,Athis-de-l'Orne,61007,https://inventaire-patrimoine.normandie.fr/dossier/ca3d8831-fdbd-4714-a8f9-58e855b5d079
IA00061041,tissage du Parc,Flers,61169,https://inventaire-patrimoine.normandie.fr/dossier/7a9aaa25-6737-4201-9dff-21ba24a9aed8
IA00061042,tissage dit tissage de la Halle,Flers,61169,https://inventaire-patrimoine.normandie.fr/dossier/2ad6726e-76ab-4abb-bf14-522e50f74408
IA00061043,tissage,Flers,61169,https://inventaire-patrimoine.normandie.fr/dossier/13d93ded-5d35-484d-904a-ffde8bf27a69
IA00061044,"cidrerie distillerie dite cidrerie François, actuellement S.A. les Distilleries Françaises",La Rouge,61356,https://inventaire-patrimoine.normandie.fr/dossier/a2e5cca2-577e-430a-a073-4cfae242d678
IA00061045,"cidrerie-distillerie dite cidrerie Dourdoigne, puis les cidreries Réunies",Le Theil,61484,https://inventaire-patrimoine.normandie.fr/dossier/001595d5-7e81-4a81-ba0f-8dae22918e84
IA00061046,moulin à farine,Courcerault,61128,https://inventaire-patrimoine.normandie.fr/dossier/e3a8cd67-f87a-4692-aa71-8f0423b7d757
IA00061047,moulin à farine,Maison-Maugis,61245,https://inventaire-patrimoine.normandie.fr/dossier/bf72a86c-2f8e-4392-8c73-f758e7bed162
IA00061048,"fonderie Renaudin, puis Société Nouvelle d'Exploitation Renaudin",Mâle,61246,https://inventaire-patrimoine.normandie.fr/dossier/fee44f1a-cacf-4e6b-901a-b1db55222375
IA00061049,fonderie,L'Aigle,61214,https://inventaire-patrimoine.normandie.fr/dossier/49a1d684-9cc4-4e45-8cb0-b31dfafc7998
